Bug_id,Project,Category,Subcategory,Creation Date,Symptom,Root Cause(patch),Importance,Title
79503,GCC,inheritance,derived class construction & destruction,2017/2/14,Reject Valid,Incorrect Branch,P3 normal,[7 Regression] [new inheriting ctors] spurious bad candidate from same or derived type
90951,GCC,object,initialization & destruction,2019/6/20,Reject Valid,Overlooked Case,P2 normal,[8/9 Regression] error initializing a constexpr array of a struct with const member
27941,LLVM,object,copy & move,2016/5/30,Crash,Incorrect Branch,P normal,Clang segfaults when considering non-special defaulted assignment operator.
73666,LLVM,compiletime_polymorphic,template instantiation,2023/11/29,Wrong Code,Overlooked Case,,C++20: Deduction guides ignored for class type placeholder template argument
92082,GCC,compiletime_polymorphic,constraints and concepts,2019/10/13,Crash,Others,P3 normal,ICE with concepts
19681,LLVM,encapsulation,member access,2014/5/7,Crash,Error Code Logic,P normal,Crash on invalid in Sema::CheckAddressOfMemberAccess
23629,LLVM,encapsulation,member access,2015/5/21,Crash,Error Message,P normal,Crash with constexpr virtual function
89512,GCC,compiletime_polymorphic,template instantiation,2019/2/26,Crash,Overlooked Case,P2 normal,"[7 Regression] ICE in get_expr_operands, at tree-ssa-operands.c:882"
47176,LLVM,encapsulation,friends,2020/8/15,Crash,Error Code Logic,P enhancement,Crash parsing friend constexpr function with noexcept(true) specifier
85866,GCC,compiletime_polymorphic,template instantiation,2018/5/22,Reject Valid,Incorrect Branch,P3 normal,[8/9 Regression] too few arguments to function when sfinae on calling pointer to member function
79377,GCC,object,overloading,2017/2/4,Crash,Incorrect Branch,P2 normal,[6 Regression] ICE with increment operator in -fpermissive mode
20496,LLVM,encapsulation,member access,2014/7/30,Diagnostic,API Misuse,P normal,No diagnostic for address of bit-field result of pre-increment operator
30844,LLVM,runtime_polymorphic,override control,2016/10/31,Reject Valid,API Misuse,P normal,Using override on a overridden destructor produces an error
90801,GCC,object,initialization & destruction,2019/6/9,Hang,Error Code Logic,P3 normal,A recurring hang
31222,LLVM,inheritance,member access(inherit),2016/12/1,Diagnostic,Error Message,P enhancement,Produce warning when a derived class shadows a field of the base class with `-Wshadow`
85901,GCC,compiletime_polymorphic,template instantiation,2018/5/24,Diagnostic,Overlooked Case,P3 normal,"Error message contains ""#'offset_type' not supported by simple_type_specifier#)#'offset_type' not supported by direct_abstract_declarator#"""
82643,GCC,encapsulation,member access,2017/10/20,Reject Valid,Overlooked Case,P3 normal,lambda capture breaks constexpr-ness of non-static const constexpr member call on non-constexpr value/variable
91933,GCC,inheritance,member access(inherit),2019/9/30,Reject Valid,Error Code Logic,P2 normal,"[9 Regression] ICE: tree check: expected class 'type', have 'exceptional' (error_mark) in build_simple_base_path, at cp/class.c:541"
42581,LLVM,compiletime_polymorphic,template instantiation,2019/7/11,Crash,Overlooked Case,P normal,clang Crashed during compilation - template recursive constexpr function
89212,GCC,compiletime_polymorphic,template instantiation,2019/2/5,Crash,Overlooked Case,P2 normal,[8 Regression] ICE in fold_convert_loc at fold-const.c:2552
101040,GCC,inheritance,derived class construction & destruction,2021/6/12,Crash,Incorrect Branch,P3 normal,"[11/12 Regression] Internal compiler error: in get_or_insert_ctor_field, at cp/constexpr.c:3571 since"
88830,GCC,runtime_polymorphic,override control,2019/1/13,Crash,Incorrect Branch,P1 normal,[9 Regression] ice in maybe_emit_vtables
92062,GCC,encapsulation,member access,2019/10/11,Wrong Code,API Misuse,P3 normal,[9 Regression] ODR-use by static_assert ignored for static member of class template
103081,GCC,encapsulation,member access,2021/11/4,Crash,Error Code Logic,P3 normal,"[ICE] with ""using enum"""
80913,GCC,encapsulation,class scope(global),2017/5/29,Hang,Error Code Logic,P3 normal,[8 regression] Infinite loop in cc1plus with stat hack patch
95074,GCC,encapsulation,class scope(global),2020/5/12,Accept Invalid,Error Code Logic,P3 normal,Function found via ADL when it should not
99008,GCC,compiletime_polymorphic,template alias,2021/2/13,Crash,Error Message,P2 normal,"[10 Regression] ICE in set_constraints, at cp/constraint.cc:1256"
89422,GCC,compiletime_polymorphic,template instantiation,2019/2/20,Crash,Error Code Logic,P2 normal,"[8 Regression] ICE in field_byte_offset, at dwarf2out.c:19086"
103703,GCC,compiletime_polymorphic,template(no instantiation),2021/12/14,Crash,Incorrect Branch,P3 normal,ICE with -Wmismatched-tags with friends and templates
85761,GCC,encapsulation,class scope(global),2018/5/12,Accept Invalid,Overlooked Case,P2 normal,[8/9 Regression] ICE on invalid in rtl with uncaptured constexpr
84708,GCC,encapsulation,class scope(global),2018/3/5,Crash,Error Code Logic,P3 normal,"[8 Regression] internal compiler error: in lambda_expr_this_capture, at cp/lambda.c:772"
105265,GCC,object,initialization & destruction,2022/4/13,Wrong Code,Incorrect Branch,P2 normal,[9 Regression] temporary object not destructed causing memory leaks
104300,GCC,object,initialization & destruction,2022/1/31,Crash,API Misuse,P1 normal,"[12 Regression] ICE in gimplify_var_or_parm_decl, at gimplify.c:2977 since"
102050,GCC,object,initialization & destruction,2021/8/24,Reject Valid,Error Code Logic,P3 normal,Nonempty list-initialization rejects constructor with defaulted std::initializer_list
93496,GCC,object,initialization & destruction,2020/1/29,Wrong Code,API Misuse,P3 normal,Miscompile of range-for over braced-init-list in constructor of class with virtual inheritance
94124,GCC,object,initialization & destruction,2020/3/10,Reject Valid,Error Code Logic,P1 normal,[10 Regression] conversion from   <brace-enclosed initializer list>   to   F   is ambiguous since
97186,GCC,encapsulation,member access,2020/9/24,Crash,Overlooked Case,P3 normal,[11 Regression] ICE: Segmentation fault (in maybe_instantiate_noexcept)
90749,GCC,object,initialization & destruction,2019/6/4,Crash,API Misuse,P2 normal,"[8/9/10 Regression] ICE in enclosing_instantiation_of, at cp/pt.c:13462"
92732,GCC,object,initialization & destruction,2019/11/29,Reject Valid,Overlooked Case,P3 normal,Bit-field of scoped enumeration type cannot be initialized
98642,GCC,object,copy & move,2021/1/12,Reject Valid,Overlooked Case,P1 normal,"[10 Regression] wrong ""use of deleted function"" error"
97279,GCC,object,overloading,2020/10/3,Wrong Code,Error Code Logic,P3 normal,GCC ignores the operation definition of the template
107329,GCC,object,initialization & destruction,2022/10/20,Crash,API Misuse,P1 normal,"[13 Regression] ICE in gimplify_expr, at gimplify.cc:17118 since"
96078,GCC,object,initialization & destruction,2020/7/6,Diagnostic,Incorrect Branch,P2 normal,[10 Regression] flatten attribute on constructor and destructor causes spurious warning
93143,GCC,object,initialization & destruction,2020/1/3,Wrong Code,Incorrect Branch,P1 normal,[10 Regression] Multiple calls to static constexpr member function gives Wrong Code
96994,GCC,object,initialization & destruction,2020/9/9,Wrong Code,Overlooked Case,P3 normal,Missing code from consteval constructor initializing const variable
100752,GCC,encapsulation,member access,2021/5/25,Reject Valid,API Misuse,P2 normal,[11 Regression] error: cannot call member function   void S::f()   without object
85646,GCC,encapsulation,member access,2018/5/4,Reject Valid,Incorrect Branch,P2 normal,[7/8/9 Regression] Incorrect lambda visibility with -fvisibility=hidden
84993,GCC,encapsulation,member access,2018/3/20,Diagnostic,Error Code Logic,P3 normal,Combination of fieldnames and accessor suggestions for misspelled private fields
83835,GCC,object,initialization & destruction,2018/1/14,Reject Valid,Overlooked Case,P3 normal,[7/8 Regression] constexpr constructor rejected in c++17 mode (regression WRT c++14)
83956,GCC,object,initialization & destruction,2018/1/20,Reject Valid,API Misuse,P3 normal,[8 regression] error: use of deleted function   {anonymous}::a::~a()  
84851,GCC,object,copy & move,2018/3/13,Diagnostic,Error Code Logic,P3 enhancement,missing -Wclass-memaccess for a memcpy in a copy ctor with a non-trivial member
86473,GCC,inheritance,member access(inherit),2018/7/11,Reject Valid,Assignment Error,P3 normal,a problem in member lookup?
83825,GCC,compiletime_polymorphic,template instantiation,2018/1/13,Crash,API Misuse,P4 normal,"[8 Regression] ICE on invalid C++ code with shadowed identifiers: in operator[], at vec.h:826"
84426,GCC,inheritance,member access(inherit),2018/2/16,Crash,Others,P4 normal,[8 Regression] ICE with conflicting class member names
28337,LLVM,object,initialization & destruction,2016/6/27,Reject Valid,Error Code Logic,P release blocker,Static constexpr arrays can not be dereferenced when declared inside class template.
40323,LLVM,compiletime_polymorphic,template instantiation,2019/1/15,Reject Valid,Overlooked Case,P enhancement,incorrect static object initialization on Windows
44361,LLVM,compiletime_polymorphic,template(no instantiation),2019/12/21,Crash,Overlooked Case,P enhancement,Crash in clang::Redeclarable<clang::TagDecl>::DeclLink::getPrevious(clang::TagDecl const*)
42276,LLVM,encapsulation,member access,2019/6/13,Crash,Error Code Logic,P enhancement,Regression(363295): Clang Crashes when compiling angle
27155,LLVM,compiletime_polymorphic,template instantiation,2016/3/31,Reject Valid,Error Code Logic,P normal,Template argument deduction for base class fails
44671,LLVM,compiletime_polymorphic,template instantiation,2020/1/26,Crash,API Misuse,P enhancement,Assertion failure while parsing deduction guide for class template with constructor constrained with terse syntax
23303,LLVM,compiletime_polymorphic,template(no instantiation),2015/4/21,Reject Valid,Overlooked Case,P normal,Default template argument not being picked up when there's a forward declaration with no default template argument
24289,LLVM,object,initialization & destruction,2015/7/28,Crash,Overlooked Case,P normal,non-deterministic Codegen Crash for function static initializer_list
37265,LLVM,object,copy & move,2018/4/26,Reject Valid,Assignment Error,P enhancement,"[coroutines] co_return should [class.copy]/33 (namely, try to move first if auto variable)"
28096,LLVM,object,copy & move,2016/6/12,Wrong Code,Error Code Logic,P normal,Clang++ selects wrong constructor in return statement (lvalue instead of rvalue)
37172,LLVM,inheritance,member access(inherit),2018/4/18,Reject Valid,Assignment Error,P normal,__is_aggregate should be false for an inherited virtual function
33904,LLVM,object,overloading,2017/7/24,Wrong Code,Error Code Logic,P enhancement,Completion provides no OVERLOAD/CXCursor_OverloadCandidate items for static member functions
50779,LLVM,object,overloading,2021/6/20,Reject Valid,API Misuse,P normal,regression Clang >= 11 rejects consteval subscript operator use
44809,LLVM,compiletime_polymorphic,constraints and concepts,2020/2/5,Accept Invalid,Overlooked Case,P enhancement,Constraint ignored in function template of class template when using terse syntax with a multi-argument concept
81942,GCC,object,initialization & destruction,2017/8/23,Crash,Assignment Error,P3 normal,ICE on empty constexpr constructor with C++14
92068,GCC,compiletime_polymorphic,template specialization,2019/10/11,Crash,Overlooked Case,P2 normal,[8/9/10 Regression] ICE on invalid in process_partial_specialization
105110,GCC,compiletime_polymorphic,template instantiation,2022/3/30,Reject Valid,API Misuse,P3 normal,NTTP type deduction fails when dependent of previous NTTPs
99389,GCC,encapsulation,class scope(global),2021/3/4,Others,API Misuse,P3 normal,[modules] bad serialization of data
94951,GCC,inheritance,member access(inherit),2020/5/5,Diagnostic,Error Message,P2 normal,[8/9 Regression] dereferencing type-punned pointer will break strict-aliasing rules when using super class for a template type
100205,GCC,encapsulation,member access,2021/4/22,Reject Valid,Error Code Logic,P3 normal,[11/12 Regression] error: invalid use of non-static data member
89419,GCC,encapsulation,class scope(global),2019/2/20,Crash,Error Code Logic,P2 normal,[8/9 Regression] ICE in is_normal_capture_proxy starting with
100517,GCC,runtime_polymorphic,casting,2021/5/11,Crash,Incorrect Branch,P3 normal,"[12 Regression] ICE in rvalue, at cp/tree.c:946 since"
100838,GCC,object,initialization & destruction,2021/5/30,Wrong Code,Incorrect Branch,P2 normal,[11 Regression] -fno-elide-constructors for C++14 missing required destructor call since
94590,GCC,others,others,2020/4/14,Accept Invalid,Incorrect Branch,P3 normal,Incorrectly accepts invalid C++11 braced initialisation of double from long double if sizeof(long double)==sizeof(double)
80415,GCC,object,initialization & destruction,2017/4/13,Reject Valid,Incorrect Branch,P1 normal,"[7 Regression] bogus ""invalid initialization of reference"" error"
101532,GCC,object,initialization & destruction,2021/7/20,Crash,Incorrect Branch,P1 normal,"[12 Regression] ICE in finish_expr_stmt, at cp/semantics.c:859"
93905,GCC,object,initialization & destruction,2020/2/24,Reject Valid,Incorrect Branch,P3 normal,[8 Regression] Cannot use Derived type of Base containing both enum and protected destructor
82110,GCC,compiletime_polymorphic,constraints and concepts,2017/9/6,Reject Valid,Overlooked Case,P3 normal,"Concept for default constructing works with new T, not with new T[1]"
90199,GCC,others,others,2019/4/22,Crash,API Misuse,P3 normal,"ICE: tree check: expected complex_cst, have plus_expr in output_constant, at varasm.c:4994"
98329,GCC,compiletime_polymorphic,template instantiation,2020/12/16,Crash,Error Code Logic,P1 normal,"[11 Regression] ICE in cp_build_bit_cast, at cp/semantics.c:10730"
103480,GCC,object,copy & move,2021/11/29,Diagnostic,Overlooked Case,P2 normal,[10 Regression] -Werror=useless-cast with constexpr destructor
81888,GCC,object,initialization & destruction,2017/8/18,Reject Valid,Incorrect Branch,P2 normal,[7 Regression] Structured bindings stopped working
96229,GCC,compiletime_polymorphic,constraints and concepts,2020/7/17,Accept Invalid,Error Code Logic,P3 normal,Invalid specialization accepted when also constrained in base template template parameter
102191,GCC,object,initialization & destruction,2021/9/3,Reject Valid,Incorrect Branch,P3 normal,[C++20] Can't return prvalue with potentially-throwing destructor during constant evaluation
89652,GCC,compiletime_polymorphic,template instantiation,2019/3/11,Crash,API Misuse,P1 normal,[9 Regression] ICE during constexpr evaluation
96560,GCC,compiletime_polymorphic,template instantiation,2020/8/10,Reject Valid,API Misuse,P3 normal,Substitution triggers compile-time error when it shouldn't
86374,GCC,compiletime_polymorphic,template instantiation,2018/7/2,Reject Valid,Overlooked Case,P1 normal,[8/9 regression] template member name lookup problem
85060,GCC,inheritance,member access(inherit),2018/3/24,Reject Valid,API Misuse,P2 normal,"[7/8 Regression] Object cannot call its inherited member function ""without object"""
84578,GCC,object,initialization & destruction,2018/2/26,Crash,Error Code Logic,P2 normal,[6/7 Regression] ICE with flexible array member and constexpr
86763,GCC,inheritance,derived class construction & destruction,2018/7/31,Wrong Code,Assignment Error,P2 normal,[7 Regression] Wrong Code comparing member of copy of a 237 byte object with nontrivial default constructor on x86-64 arch
84222,GCC,object,copy & move,2018/2/5,Diagnostic,Error Code Logic,P2 normal,[6/7 Regression] [[deprecated]] class complains about internal class usage
87651,GCC,compiletime_polymorphic,template instantiation,2018/10/19,Reject Valid,Others,P2 normal,[8 Regression] inner class with template template friend declaration of same name fails to compile
84296,GCC,compiletime_polymorphic,template instantiation,2018/2/8,Crash,API Misuse,P3 normal,[8 Regression] ICE in finish_member_declaration
87531,GCC,object,copy & move,2018/10/5,Wrong Code,Others,P3 normal,[8/9 Regression] assignment operator does nothing if performed as a call via operator=
85031,GCC,encapsulation,member access,2018/3/22,Crash,Others,P3 normal,internal compiler error: Segmentation fault (field_accessor_p()/dfs_locate_field_accessor_pre())
85241,GCC,compiletime_polymorphic,template instantiation,2018/4/5,Reject Valid,Others,P3 normal,"Requires-expressions, fold expressions, and member function templates with dependent parameters don't play nicely"
85558,GCC,encapsulation,friends,2018/4/28,Crash,Others,P3 normal,ICE in make_rtl_for_nonlocal_decl when using static member of template class
86018,GCC,encapsulation,class scope(global),2018/5/31,Diagnostic,Overlooked Case,P3 normal,Incorrect unused warning for int passed by reference to lambda
84375,GCC,encapsulation,friends,2018/2/13,Crash,Incorrect Branch,P4 normal,[8 Regression] ICE with friend in local class
85014,GCC,encapsulation,class scope(global),2018/3/21,Crash,Overlooked Case,P4 minor,"[8 Regression] internal compiler error: in lookup_base, at cp/search.c:185"
47270,LLVM,inheritance,member access(inherit),2020/8/21,Crash,Overlooked Case,P enhancement,clang Crashes on not finding a destructor during pch deserialization
42211,LLVM,inheritance,multiple inheritance,2019/6/9,Wrong Code,Overlooked Case,P normal,using declaration on method with multiple inheritance disables virtual call to overridden method
34970,LLVM,compiletime_polymorphic,template instantiation,2017/10/16,Reject Valid,Error Code Logic,P normal,Class template argument deduction mishandles std::optional
18876,LLVM,compiletime_polymorphic,template instantiation,2014/2/17,Wrong Code,Assignment Error,P normal,"is_default_constructible and DRs 1354, 1424"
48687,LLVM,compiletime_polymorphic,template instantiation,2021/1/7,Crash,Overlooked Case,P release blocker,Compiler frontend segfault on explicit template instantiation
22591,LLVM,object,copy & move,2015/2/14,Reject Valid,Incorrect Branch,P normal,Compilation of exported class gives errors when class is not copyable and/or copy-assignable
49020,LLVM,object,initialization & destruction,2021/2/3,Accept Invalid,Overlooked Case,P enhancement,Allowing brace elision even with desgnated initializers
35039,LLVM,object,copy & move,2017/10/23,Crash,Overlooked Case,P normal,Crash with GNU's ?: operator when guaranteed copy elision (c++17) is enabled
20744,LLVM,object,initialization & destruction,2014/8/25,Wrong Code,Others,P normal,Source range of explicitly defaulted constructor not recorded
27027,LLVM,object,overloading,2016/3/22,Reject Valid,API Misuse,P normal,Block scope operator function ignored by lookup for infix notation
20930,LLVM,encapsulation,member access,2014/9/12,Diagnostic,API Misuse,P normal,declspec/attribute deprecated does not give a warning for nested anonymous classes
51484,LLVM,object,initialization & destruction,2021/8/15,Crash,API Misuse,P normal,Consteval returning struct/class causes frontend error.
92918,GCC,inheritance,member access(inherit),2019/12/12,Reject Valid,Incorrect Branch,P2 normal,[9/10 Regression] Does not do name lookup when using from base class
102045,GCC,inheritance,derived class construction & destruction,2021/8/24,Wrong Code,API Misuse,P2 normal,[11 regression] constructor is not being instantiated
100111,GCC,inheritance,derived class construction & destruction,2021/4/16,Crash,Overlooked Case,P2 normal,[10 Regression] `-fno-elide-constructors` with `constexpr` ctors causes ICE in GCC 10.3
98744,GCC,inheritance,derived class construction & destruction,2021/1/19,Wrong Code,API Misuse,P1 normal,"[11 Regression] ICE in gimple_call_arg, at gimple.h:3246 since"
103177,GCC,inheritance,multiple inheritance,2021/11/10,Diagnostic,Overlooked Case,P3 normal,incorrect error message for ambiguous lookup with a static member function from a private base
80431,GCC,inheritance,derived class construction & destruction,2017/4/14,Wrong Code,API Misuse,P3 normal,"Use of ""this"" pointer in member initializer causes constructor not to be called (or ICE on gcc 7)"
104641,GCC,compiletime_polymorphic,template instantiation,2022/2/22,Reject Valid,Overlooked Case,P3 normal,Deduction guide for member template class rejected at class scope when used with typename dependant type
90138,GCC,compiletime_polymorphic,template(no instantiation),2019/4/18,Crash,Assignment Error,P4 normal,[7/8 Regression] ICE on invalid in contains_struct_check()
95678,GCC,compiletime_polymorphic,template instantiation,2020/6/15,Crash,API Misuse,P3 normal,"[9 Regression] ICE in dependent_type_p, at cp/pt.c:25610"
79501,GCC,compiletime_polymorphic,template instantiation,2017/2/14,Reject Valid,Error Code Logic,P3 normal,member deduction guide not recognized
92776,GCC,compiletime_polymorphic,template(no instantiation),2019/12/3,Reject Valid,Assignment Error,P3 normal,Can't define member function out of line with non-type template parameter
98570,GCC,compiletime_polymorphic,template specialization,2021/1/6,Crash,Incorrect Branch,P2 normal,[8/9/10/11 Regression] ICE: canonical types differ for identical types
99374,GCC,others,others,2021/3/3,Reject Valid,Incorrect Branch,P2 normal,[8/9/10 Regression] C++17/20 mode fails to recognise pointer-to-member functions of incomplete types in conditional expression
98332,GCC,object,initialization & destruction,2020/12/16,Crash,Incorrect Branch,P3 normal,"[10/11 Regression] ICE in unshare_constructor, at cp/constexpr.c:1527 since"
93559,GCC,object,initialization & destruction,2020/2/3,Crash,Incorrect Branch,P1 normal,[10 Regression] ICE: side-effects element in no-side-effects CONSTRUCTOR
94024,GCC,object,initialization & destruction,2020/3/3,Diagnostic,Assignment Error,P3 normal,Error message has misleading source location for constructor member initialisation.
99033,GCC,object,initialization & destruction,2021/2/9,Crash,Overlooked Case,P2 normal,"[9 Regression] ICE in tree_to_poly_int64, at tree.c:3091"
97523,GCC,object,initialization & destruction,2020/10/21,Reject Valid,Incorrect Branch,P1 normal,"[11 Regression] bogus ""would use explicit constructor"" error for new[]()"
93238,GCC,object,overloading,2020/1/12,Crash,API Misuse,P1 normal,"[10 Regression] ICE in tree check: expected integer_cst, have mult_expr in to_wide, at tree.h:5855 since"
104425,GCC,compiletime_polymorphic,template instantiation,2022/2/7,Reject Valid,API Misuse,P3 normal,SFINAE hard error on failed resolution of << for defined class in namespace
103341,GCC,compiletime_polymorphic,template alias,2021/11/20,Crash,API Misuse,P2 normal,[11 Regression] ICE type of variable instantiation constrained on template parameter
89481,GCC,encapsulation,class scope(global),2019/2/24,Accept Invalid,Assignment Error,P3 normal,constexpr function allows writing one active union member and reading another
90171,GCC,object,overloading,2019/4/19,Crash,Error Code Logic,P3 normal,"[9 Regression] ICE in build_op_delete_call, at cp/call.c:6630"
99613,GCC,object,initialization & destruction,2021/3/16,Wrong Code,API Misuse,P3 normal,Static variable destruction order race condition
88554,GCC,encapsulation,friends,2018/12/19,Crash,Incorrect Branch,P1 normal,[9 Regression] Segfault ICE when falling off the end of a reference-returning friend operator
84520,GCC,object,initialization & destruction,2018/2/22,Crash,Incorrect Branch,P2 normal,[6/7/8 Regression] ICE with lambda and static member function
84820,GCC,inheritance,member access(inherit),2018/3/11,Accept Invalid,Incorrect Branch,P2 normal,[7 Regression]? Bogus pointer-to-member accepted within template
86953,GCC,object,overloading,2018/8/14,Crash,Others,P2 normal,"[8 Regression] compiler Crashes with constexpr operator== and specific struct (cxx_eval_bit_field_ref, at cp/constexpr.c:2704)"
87506,GCC,inheritance,derived class construction & destruction,2018/10/3,Crash,Overlooked Case,P2 normal,[7 Regression] ICE with inherited constexpr constructor with const argument
87571,GCC,encapsulation,friends,2018/10/10,Crash,Others,P2 normal,"[8 Regression] ICE in friend_accessible_p, accessing protected member of template friend inside template class"
83912,GCC,object,initialization & destruction,2018/1/17,Reject Valid,Others,P3 normal,"[constexpr] struct with a pointer to one of its members, returned by a function, is not a constant expression"
68024,LLVM,compiletime_polymorphic,template alias,2023/10/3,Crash,Overlooked Case,,Dependent value passed to function object passed to auto template parameter causes: Assertion isa<T>(CanonicalType) failed
30559,LLVM,compiletime_polymorphic,template instantiation,2016/9/28,Crash,Overlooked Case,P normal,clang Crashes on valid C++11 code: Assertion `ParamIter != FD->param_end()' failed
37903,LLVM,object,initialization & destruction,2018/6/22,Wrong Code,Error Code Logic,P release blocker,Clang/LLVM 7.0.1 on Windows initializes inline static data member multiple times
26182,LLVM,encapsulation,class scope(global),2016/1/17,Reject Valid,API Misuse,P normal,Associated namespaces of local classes in ADL
42513,LLVM,encapsulation,friends,2019/7/4,Wrong Code,API Misuse,P normal,Friend function declarations hidden in qualifed name lookup (regression introduced by commit r350505)
19808,LLVM,object,overloading,2014/5/20,Reject Valid,API Misuse,P normal,Pointer-to-member conversion to bool considered indistinguishable from conversion to non-bool
30595,LLVM,object,overloading,2016/10/2,Accept Invalid,Error Code Logic,P normal,extraneous const qualifier allowed in malformed conversion function
22354,LLVM,object,copy & move,2015/1/27,Others,Others,P normal,generic lambda capture fails with undefined reference to custom copy ctor
42961,LLVM,object,copy & move,2019/8/11,Crash,Incorrect Branch,P enhancement,assertion failure converting lambda returning trivial_abi struct to function pointer
30586,LLVM,encapsulation,friends,2016/10/1,Diagnostic,Error Message,P normal,Clang-cl Friend class error: elaborated type refers to a type alias
18544,LLVM,encapsulation,class scope(global),2014/1/19,Diagnostic,Error Code Logic,P normal,Crash declaring inline operator new in a namespace
43232,LLVM,object,initialization & destruction,2019/9/5,Diagnostic,Error Code Logic,P enhancement,-Wmissing-braces firing for aggregate structs with only 1 base and no members
36747,LLVM,compiletime_polymorphic,template specialization,2018/3/14,Crash,API Misuse,P normal,Structured bindings in conditions Crash when using member get
37918,LLVM,encapsulation,class scope(global),2018/6/24,Wrong Code,Incorrect Branch,P enhancement,When compiling with `-fopenmp` clang will under certain circumstances not produce symbols for const or constexpr static data members.
94041,GCC,object,initialization & destruction,2020/3/5,Wrong Code,Error Code Logic,P1 normal,[10 Regression] temporary object destructor called before the end of the full-expression since
70272,GCC,inheritance,derived class construction & destruction,2017/3/17,Wrong Code,Incorrect Branch,P3 normal,Spurious line directive with -g
94175,GCC,object,copy & move,2020/3/14,Others,Overlooked Case,P1 normal,[10 Regression] Passing constexpr empty class variable to function since
93310,GCC,inheritance,multiple inheritance,2020/1/17,Wrong Code,Error Code Logic,P3 normal,Incorrect constexpr virtual evaluation inside a constructor
